chr,window_start,window_end,CG,CHG,CHH,rec
chr1,1,100000.0,1024.0,443.0,5.0,0.0
chr1,100001,200000.0,987.0,314.0,8.0,0.0
chr1,200001,300000.0,906.0,275.0,31.0,0.0
chr1,300001,400000.0,719.0,117.0,12.0,1.88
chr1,400001,500000.0,730.0,466.0,38.0,0.0
chr1,500001,600000.0,961.0,381.0,41.0,0.0
chr1,600001,700000.0,739.0,337.0,27.0,0.0
chr1,700001,800000.0,884.0,125.0,70.0,0.0
chr1,800001,900000.0,658.0,127.0,84.0,2.42
chr1,900001,1000000.0,592.0,137.0,59.0,0.0
chr1,1000001,1100000.0,548.0,178.0,83.0,0.0
chr1,1100001,1200000.0,608.0,275.0,111.0,0.0
chr1,1200001,1300000.0,887.0,274.0,171.0,0.0
chr1,1300001,1400000.0,992.0,298.0,58.0,0.57
chr1,1400001,1500000.0,677.0,80.0,14.0,0.0
chr1,1500001,1600000.0,682.0,136.0,36.0,0.94
chr1,1600001,1700000.0,818.0,184.0,65.0,0.0
chr1,1700001,1800000.0,704.0,295.0,136.0,0.0
chr1,1800001,1900000.0,699.0,64.0,102.0,1.05
chr1,1900001,2000000.0,577.0,121.0,33.0,1.5
chr1,2000001,2100000.0,693.0,129.0,101.0,0.62
chr1,2100001,2200000.0,632.0,172.0,117.0,0.0
chr1,2200001,2300000.0,512.0,107.0,85.0,0.0
chr1,2300001,2400000.0,636.0,124.0,114.0,0.0
chr1,2400001,2500000.0,569.0,124.0,123.0,0.0
chr1,2500001,2600000.0,575.0,134.0,155.0,1.9
chr1,2600001,2700000.0,761.0,106.0,120.0,0.0
chr1,2700001,2800000.0,827.0,80.0,52.0,0.0
chr1,2800001,2900000.0,598.0,178.0,75.0,0.0
chr1,2900001,3000000.0,790.0,175.0,149.0,0.0
chr1,3000001,3100000.0,505.0,54.0,75.0,0.0
chr1,3100001,3200000.0,964.0,301.0,67.0,0.0
chr1,3200001,3300000.0,785.0,147.0,18.0,0.89
chr1,3300001,3400000.0,536.0,124.0,147.0,0.0
chr1,3400001,3500000.0,664.0,192.0,126.0,0.0
chr1,3500001,3600000.0,645.0,205.0,119.0,0.0
chr1,3600001,3700000.0,696.0,145.0,65.0,0.92
chr1,3700001,3800000.0,758.0,152.0,36.0,0.0
chr1,3800001,3900000.0,877.0,167.0,56.0,0.0
chr1,3900001,4000000.0,552.0,166.0,19.0,0.0
chr1,4000001,4100000.0,541.0,115.0,38.0,0.0
chr1,4100001,4200000.0,574.0,186.0,68.0,0.0
chr1,4200001,4300000.0,755.0,277.0,70.0,0.0
chr1,4300001,4400000.0,703.0,189.0,129.0,3.09
chr1,4400001,4500000.0,523.0,104.0,37.0,0.0
chr1,4500001,4600000.0,736.0,108.0,72.0,0.0
chr1,4600001,4700000.0,593.0,223.0,87.0,0.0
chr1,4700001,4800000.0,447.0,124.0,50.0,0.0
chr1,4800001,4900000.0,725.0,508.0,114.0,0.0
chr1,4900001,5000000.0,839.0,253.0,149.0,0.0
chr1,5000001,5100000.0,481.0,99.0,142.0,0.0
chr1,5100001,5200000.0,760.0,295.0,8.0,0.0
chr1,5200001,5300000.0,706.0,222.0,84.0,0.0
chr1,5300001,5400000.0,795.0,231.0,63.0,0.81
chr1,5400001,5500000.0,597.0,84.0,19.0,0.0
chr1,5500001,5600000.0,1022.0,173.0,66.0,0.0
chr1,5600001,5700000.0,599.0,222.0,142.0,0.0
chr1,5700001,5800000.0,724.0,276.0,36.0,0.0
chr1,5800001,5900000.0,533.0,179.0,102.0,0.0
chr1,5900001,6000000.0,394.0,116.0,158.0,0.0
chr1,6000001,6100000.0,731.0,231.0,80.0,0.0
chr1,6100001,6200000.0,653.0,179.0,124.0,4.11
chr1,6200001,6300000.0,530.0,144.0,77.0,0.0
chr1,6300001,6400000.0,634.0,180.0,18.0,0.0
chr1,6400001,6500000.0,632.0,196.0,254.0,0.0
chr1,6500001,6600000.0,561.0,173.0,55.0,0.16
chr1,6600001,6700000.0,712.0,192.0,81.0,0.0
chr1,6700001,6800000.0,734.0,261.0,24.0,0.0
chr1,6800001,6900000.0,661.0,106.0,110.0,0.0
chr1,6900001,7000000.0,647.0,94.0,103.0,0.74
chr1,7000001,7100000.0,771.0,170.0,34.0,0.0
chr1,7100001,7200000.0,667.0,137.0,100.0,0.0
chr1,7200001,7300000.0,786.0,128.0,73.0,0.0
chr1,7300001,7400000.0,564.0,147.0,93.0,0.0
chr1,7400001,7500000.0,764.0,186.0,148.0,0.52
chr1,7500001,7600000.0,714.0,74.0,132.0,0.0
chr1,7600001,7700000.0,725.0,163.0,82.0,0.5
chr1,7700001,7800000.0,783.0,423.0,65.0,0.97
chr1,7800001,7900000.0,544.0,120.0,88.0,0.91
chr1,7900001,8000000.0,836.0,171.0,38.0,0.0
chr1,8000001,8100000.0,711.0,147.0,76.0,0.51
chr1,8100001,8200000.0,760.0,220.0,95.0,0.67
chr1,8200001,8300000.0,564.0,208.0,135.0,0.72
chr1,8300001,8400000.0,670.0,163.0,78.0,0.31
chr1,8400001,8500000.0,709.0,359.0,60.0,0.64
chr1,8500001,8600000.0,895.0,170.0,18.0,0.0
chr1,8600001,8700000.0,561.0,206.0,83.0,0.0
chr1,8700001,8800000.0,724.0,360.0,42.0,0.0
chr1,8800001,8900000.0,686.0,167.0,132.0,0.92
chr1,8900001,9000000.0,649.0,137.0,110.0,0.0
chr1,9000001,9100000.0,844.0,177.0,208.0,0.0
