chr,window_start,window_end,CG,CHG,CHH,rec
chr1,1,100000.0,575.0,97.0,89.0,0.0
chr1,100001,200000.0,504.0,69.0,111.0,0.0
chr1,200001,300000.0,656.0,121.0,113.0,0.39060872700000004
chr1,300001,400000.0,643.0,125.0,163.0,0.787417067
chr1,400001,500000.0,837.0,177.0,74.0,0.39060872700000004
chr1,500001,600000.0,1134.0,243.0,82.0,0.39060872700000004
chr1,600001,700000.0,929.0,211.0,39.0,0.387581005
chr1,700001,800000.0,1120.0,353.0,41.0,0.0
chr1,800001,900000.0,900.0,104.0,59.0,0.39368412399999997
chr1,900001,1000000.0,1049.0,227.0,58.0,0.7936666509999999
chr1,1000001,1100000.0,779.0,128.0,109.0,2.050188594
chr1,1100001,1200000.0,982.0,343.0,118.0,0.0
chr1,1200001,1300000.0,1055.0,142.0,50.0,1.200152391
chr1,1300001,1400000.0,1065.0,244.0,85.0,0.39680833
chr1,1400001,1500000.0,981.0,142.0,56.0,0.800016235
chr1,1500001,1600000.0,856.0,173.0,54.0,1.639819972
chr1,1600001,1700000.0,1032.0,270.0,106.0,0.39680833
chr1,1700001,1800000.0,1045.0,271.0,76.0,0.800016235
chr1,1800001,1900000.0,879.0,217.0,78.0,1.6133563069999999
chr1,1900001,2000000.0,938.0,283.0,149.0,2.033504203
chr1,2000001,2100000.0,1103.0,287.0,137.0,0.39368412399999997
chr1,2100001,2200000.0,888.0,108.0,130.0,0.39060872700000004
chr1,2200001,2300000.0,879.0,256.0,147.0,0.39060872700000004
chr1,2300001,2400000.0,782.0,194.0,135.0,0.39060872700000004
chr1,2400001,2500000.0,1004.0,254.0,74.0,1.600442304
chr1,2500001,2600000.0,1179.0,314.0,152.0,1.587733453
chr1,2600001,2700000.0,863.0,253.0,189.0,3.283175146
chr1,2700001,2800000.0,893.0,242.0,110.0,0.38459985700000004
chr1,2800001,2900000.0,1007.0,228.0,96.0,0.775208593
chr1,2900001,3000000.0,870.0,198.0,71.0,0.38459985700000004
chr1,3000001,3100000.0,912.0,413.0,113.0,0.38459985700000004
chr1,3100001,3200000.0,910.0,495.0,95.0,1.172016951
chr1,3200001,3300000.0,787.0,153.0,34.0,0.0
chr1,3300001,3400000.0,1242.0,442.0,28.0,0.38459985700000004
chr1,3400001,3500000.0,737.0,414.0,35.0,0.775208593
chr1,3500001,3600000.0,734.0,284.0,205.0,1.575224903
chr1,3600001,3700000.0,830.0,368.0,136.0,0.38459985700000004
chr1,3700001,3800000.0,688.0,514.0,134.0,0.0
chr1,3800001,3900000.0,878.0,298.0,36.0,0.38459985700000004
chr1,3900001,4000000.0,967.0,507.0,68.0,0.387581005
chr1,4000001,4100000.0,1058.0,457.0,70.0,0.0
chr1,4100001,4200000.0,809.0,551.0,123.0,0.781265138
chr1,4200001,4300000.0,942.0,624.0,60.0,0.39368412399999997
chr1,4300001,4400000.0,672.0,345.0,91.0,0.39368412399999997
chr1,4400001,4500000.0,890.0,558.0,81.0,0.39368412399999997
chr1,4500001,4600000.0,854.0,619.0,114.0,0.0
chr1,4600001,4700000.0,759.0,694.0,181.0,0.39368412399999997
chr1,4700001,4800000.0,827.0,734.0,67.0,0.39368412399999997
chr1,4800001,4900000.0,713.0,532.0,50.0,0.39368412399999997
chr1,4900001,5000000.0,816.0,767.0,198.0,0.0
