chr,window_start,window_end,CG,CHG,CHH,rec
chr1,1.0,100000.0,78000000.0,22000000.0,0.0,0.0
chr1,100001.0,200000.0,11800000.0,10400000.0,900000.0,0.0
chr1,200001.0,300000.0,8900000.000000002,9700000.0,0.0,0.0
chr1,300001.0,400000.0,7200000.0,6200000.0,0.0,0.0
chr1,400001.0,500000.0,12200000.0,9300000.0,0.0,0.0
chr1,500001.0,600000.0,15100000.0,8200000.0,0.0,0.0
chr1,600001.0,700000.0,14100000.0,10100000.0,0.0,0.0
chr1,700001.0,800000.0,14199999.999999996,6800000.0,0.0,0.0
chr1,800001.0,900000.0,16400000.0,11400000.0,0.0,0.0
chr1,900001.0,1000000.0,9800000.0,9900000.0,0.0,0.0
chr1,1000001.0,1100000.0,17500000.0,11700000.0,300000.0,0.0
chr1,1100001.0,1200000.0,15400000.0,13200000.0,100000.0,0.0
chr1,1200001.0,1300000.0,28000000.0,15200000.0,0.0,0.0
chr1,1300001.0,1400000.0,6600000.0,5400000.0,0.0,0.0
chr1,1400001.0,1500000.0,21200000.0,14100000.0,0.0,0.0
chr1,1500001.0,1600000.0,16000000.0,13700000.0,0.0,0.0
chr1,1600001.0,1700000.0,16200000.0,14000000.0,0.0,0.0
chr1,1700001.0,1800000.0,16800000.0,10500000.0,0.0,0.37312016
chr1,1800001.0,1900000.0,14100000.0,10100000.0,0.0,0.0
chr1,1900001.0,2000000.0,13800000.000000004,11100000.0,0.0,0.0
chr1,2000001.0,2100000.0,19800000.0,9300000.0,0.0,0.0
chr1,2100001.0,2200000.0,19100000.0,9300000.0,0.0,0.0
chr1,2200001.0,2300000.0,16800000.0,12500000.0,0.0,0.0
chr1,2300001.0,2400000.0,12300000.0,11300000.0,0.0,1.1364931
chr1,2400001.0,2500000.0,18000000.0,17000000.0,0.0,0.0
chr1,2500001.0,2600000.0,12400000.0,6700000.0,0.0,0.0
chr1,2600001.0,2700000.0,13900000.0,7400000.0,300000.0,0.0
chr1,2700001.0,2800000.0,13700000.0,7600000.0,0.0,0.0
chr1,2800001.0,2900000.0,13800000.000000004,3400000.0,0.0,0.0
chr1,2900001.0,3000000.0,17600000.0,5099999.999999999,0.0,0.0
chr1,3000001.0,3100000.0,13400000.0,8500000.0,0.0,0.0
chr1,3100001.0,3200000.0,15700000.0,6600000.0,500000.0,0.0
chr1,3200001.0,3300000.0,14400000.0,4900000.0,0.0,0.0
